month,course name,prof name,description,time,date,price (Тенге),credits,format
Сентябрь,ЭхоКГ «Клапаны под контролем»,Дилафруз Муратжановна,"Основы оценки клапанной патологии в ЭхоКГ:
анатомия, нормальные значения, методика;
Гемодинамика и градиенты:
что важно измерять и почему;
Аортальный клапан:
стеноз, регургитация, SVD, тромбоз, эндокардит;
Митральный клапан:
стеноз, регургитация, SVD, PPM, PVL;
Дисфункция искусственных клапанов:
структурная и неструктурная, критерии ESC/EACTS 2025, тромбоз, РРМ, эндокардит, PVL;
Количественная оценка:
EOA, DVI, PISA, EROA, vena contracta, PHT и др.;
Сложные случаи и дифференциальная диагностика:
микс-поражения, низкий поток/низкий градиенту и др.;
Гемодинамические последствия и сопутствующие состояния:
РНТ, ремоделирование камер, ЛП, ЛЖ;
Практические разборы и клинические кейсы:
интерактив, разбор протоколов Эхокг;","19:00 (09, 11)
11:00 (12)
","09, 11, 12",45.000,10 ч. (5 ЗЕ),онлайн
,Гипертензивные расстройства и др. во время беременности,Инна Евгеньевна,"АГ при беременности: диагностика и классификация;
Хроническая и гестационная АГ, преэклампсия;
Признаки тяжёлого состояния;
Когда начинать лечение и чем;
Профилактика преэклампсии и АСК;
Послеродовой период и терапия при ГВ;
Практические клинические алгоритмы;

Поговорим о влиянии беременности на АД; 
‎О разных формах АГ;
‎Профилактика преэклампсии и кому назначать АСК
‎Послеродовой период. Какие препараты можно на ГВ;
‎И многое другое",17:00,22,20.000,3 ч. (1.5 ЗЕ),"онлайн
"
,Интервал QT,Инна Евгеньевна,Мы обсудим начиная с определения QT; потенциала действия кардиомиоцита; поговорим о препаратах; которые могут удлинять интервал QT  и приводить в жизнеугрожвющим аритмиям и внезапной смерти.,17:30,25,15.000,3 ч. (1.5 ЗЕ),"онлайн
"
Сентябрь - Октябрь,Сердечно-сосудистое здоровье женщины,Инна Евгеньевна,"Отличия сердечно -сосудистой системы женщины
Какие риски возникают у женщины в разные периоды жизни со стороны сердечно-сосудистой системы
Отдельно разберем беременость со стороны кардиологии 
Повышение давления во время беременности и преэклампсия 
Контрацепция и сердечно- сосудистые риски
Изменения сердца и сосудов во время менопаузы
Дислипидемия и атеросклероз 
Баланс между гормон- заместительной терапией и здоровьем сердца
Особенности ИБС у женщин 
Обследования и профилактика",17:00,"29 (сен)
01 (окт)",30.000,6 ч. (3 ЗЕ),"онлайн
"
Октябрь,ЭхоКГ «Клапаны под контролем»,Дилафруз Муратжановна,"Основы оценки клапанной патологии в ЭхоКГ:
анатомия, нормальные значения, методика;
Гемодинамика и градиенты:
что важно измерять и почему;
Аортальный клапан:
стеноз, регургитация, SVD, тромбоз, эндокардит;
Митральный клапан:
стеноз, регургитация, SVD, PPM, PVL;
Дисфункция искусственных клапанов:
структурная и неструктурная, критерии ESC/EACTS 2025, тромбоз, РРМ, эндокардит, PVL;
Количественная оценка:
EOA, DVI, PISA, EROA, vena contracta, PHT и др.;
Сложные случаи и дифференциальная диагностика:
микс-поражения, низкий поток/низкий градиенту и др.;
Гемодинамические последствия и сопутствующие состояния:
РНТ, ремоделирование камер, ЛП, ЛЖ;
Практические разборы и клинические кейсы:
интерактив, разбор протоколов Эхокг;","19:00 (07, 09)
11:00 (10)","07, 09, 10",45.000,10 ч. (5 ЗЕ),"онлайн
"
,Кардиоонкология,Мария Васильевна,"На данном курсе вы узнаете: Методы лечения злокачественных новообразований и возможные сердечно-сосудистые осложнения; прогнозирование риска; тромбоэмболические осложнения и их терапии; особенности межлекарственного взаимодействия в кардиоонкологии; наблюдение за пациентами до-, во время и после завершения противоопухолевой терапии.",n/a,"19, 21, 23",50.000,9 ч. (4.5 ЗЕ),"онлайн
"
